long_name,max_air_temp_j,maximum air temperature descriptor code,1,,,,,,,,,,,,,,,,,,
type,max_air_temp_j,int,,,,,,,,,,,,,,,,,,,
comments,max_air_temp_j,maximum air temperature descriptor code (see MIDAS documentation),,,,,,,,,,,,,,,,,,,
long_name,min_air_temp_j,minimum air temperature descriptor code,1,,,,,,,,,,,,,,,,,,
type,min_air_temp_j,int,,,,,,,,,,,,,,,,,,,
comments,min_air_temp_j,minimum air temperature descriptor code (see MIDAS documentation),,,,,,,,,,,,,,,,,,,
long_name,min_grss_temp_j,minimum grass temperature descriptor code,1,,,,,,,,,,,,,,,,,,
type,min_grss_temp_j,int,,,,,,,,,,,,,,,,,,,
comments,min_grss_temp_j,minimum grass temperature descriptor code (see MIDAS documentation),,,,,,,,,,,,,,,,,,,
long_name,min_conc_temp_j,minimum concrete temperature descriptor code,1,,,,,,,,,,,,,,,,,,
type,min_conc_temp_j,int,,,,,,,,,,,,,,,,,,,
comments,min_conc_temp_j,minimum concrete temperature descriptor code (see MIDAS documentation),,,,,,,,,,,,,,,,,,,
long_name,meto_stmp_time,Met Office receipt stamp time,s,,,,,,,,,,,,,,,,,,
type,meto_stmp_time,char,,,,,,,,,,,,,,,,,,,
comments,meto_stmp_time,Met Office receipt stamp time as YYYY-MM-DD HH:MM:SS,,,,,,,,,,,,,,,,,,,
long_name,midas_stmp_etime,elapsed time to storage in MIDAS,minutes,,,,,,,,,,,,,,,,,,
type,midas_stmp_etime,int,,,,,,,,,,,,,,,,,,,
comments,midas_stmp_etime,elapsed time to storage in MIDAS in minutes,,,,,,,,,,,,,,,,,,,
data,,,,,,,,,,,,,,,,,,,,,
ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
01/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,9.6,6.8,4.8,4.5,6,6,6,6,NA,NA,NA,NA,01/01/2023 09:04,0
01/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,10.2,6.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/01/2023 21:02,0
02/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.7,2.7,-1.2,-0.4,6,6,6,6,NA,NA,NA,NA,02/01/2023 09:04,0
02/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,6.8,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/01/2023 21:02,0
03/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,5.7,-2,-7.5,-5,6,6,6,6,NA,NA,NA,NA,03/01/2023 09:04,0
03/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.9,5.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/01/2023 21:02,0
04/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.9,10.7,9.1,8.7,6,6,6,6,NA,NA,NA,NA,04/01/2023 09:04,0
04/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,12.2,9.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,04/01/2023 21:03,0
05/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10.2,8.1,5.8,5.7,6,6,6,6,NA,NA,NA,NA,05/01/2023 09:04,0
05/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.8,8.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,05/01/2023 21:02,0
06/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10.9,4.9,2.5,2.2,6,6,6,6,NA,NA,NA,NA,06/01/2023 09:04,0
06/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,9.8,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,06/01/2023 21:02,0
07/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.8,9.8,7.4,7.2,6,6,6,6,NA,NA,NA,NA,07/01/2023 09:04,0
07/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.2,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,07/01/2023 21:02,0
08/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.3,5.3,3.7,3.8,6,6,6,6,NA,NA,NA,NA,08/01/2023 09:04,0
08/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.8,3.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,08/01/2023 21:02,0
09/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.3,3.1,0.8,0.5,6,6,6,6,NA,NA,NA,NA,09/01/2023 09:03,0
09/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,7.2,4.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,09/01/2023 21:02,0
10/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,6.1,4,-0.3,0.2,6,6,6,6,NA,NA,NA,NA,10/01/2023 09:04,0
10/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,12.3,4.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,10/01/2023 21:02,0
11/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.2,5.7,3.4,2.9,6,6,6,6,NA,NA,NA,NA,11/01/2023 09:03,0
11/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.7,6.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,11/01/2023 21:02,0
12/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,11.1,6.7,4.6,4.3,6,6,6,6,NA,NA,NA,NA,12/01/2023 09:04,0
12/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,11.7,7.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,12/01/2023 21:02,0
13/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,7.7,6.2,4.7,4.3,6,6,6,6,NA,NA,NA,NA,13/01/2023 09:04,0
13/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,8.7,5.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,13/01/2023 21:02,0
14/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,10,5,2.8,2.4,6,6,6,6,NA,NA,NA,NA,14/01/2023 09:04,0
14/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,10.1,4.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,14/01/2023 21:03,0
15/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,4.3,2.4,0.9,0.7,6,6,6,6,NA,NA,NA,NA,15/01/2023 09:04,0
15/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,5.9,2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,15/01/2023 21:02,0
16/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,3.7,1.8,-1.5,0,6,6,6,6,NA,NA,NA,NA,16/01/2023 09:04,0
16/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,3,-2.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,16/01/2023 21:02,0
17/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,-1.9,-3.4,-9,-7,6,6,6,6,NA,NA,NA,NA,17/01/2023 09:03,0
17/01/2023 21:00,DCNN,4206,12,1,NCM,556,1011,3,-3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,17/01/2023 21:02,0
18/01/2023 09:00,DCNN,4206,12,1,NCM,556,1011,0.1,-1.1,-3,-3.1,6,6,6,6,NA,NA,NA,NA,18/01/2023 09:04,0
