ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
19/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.7,3.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,19/01/2022 20:55,0
20/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,4,0.2,-2.8,-3.5,6,6,6,6,NA,NA,NA,NA,20/01/2022 08:53,0
20/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,4.6,0.3,NA,NA,6,1006,NA,NA,NA,NA,NA,NA,20/01/2022 20:54,0
21/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,1,-0.7,-5.4,-4.5,6,6,6,6,NA,NA,NA,NA,21/01/2022 08:53,0
21/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.6,0.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,21/01/2022 20:54,0
22/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.2,-0.2,-6.2,-4.3,6,6,6,6,NA,NA,NA,NA,22/01/2022 08:55,0
22/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8,2.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,22/01/2022 20:54,0
23/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.1,5.1,4.3,4.3,6,6,6,6,NA,NA,NA,NA,23/01/2022 08:55,0
23/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,5.1,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,23/01/2022 20:54,0
24/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,2.7,0.8,0.8,1.6,6,6,6,6,NA,NA,NA,NA,24/01/2022 08:54,0
24/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,1.9,0.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,24/01/2022 20:53,0
25/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,1.4,0.9,0.9,1.7,6,6,6,6,NA,NA,NA,NA,25/01/2022 08:54,0
25/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,2.7,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,25/01/2022 20:53,0
26/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3,0.8,-3,-2.4,6,6,6,6,NA,NA,NA,NA,26/01/2022 08:55,0
26/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.7,2.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,26/01/2022 21:09,0
27/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.2,5.8,4.2,3.4,6,6,6,6,NA,NA,NA,NA,27/01/2022 09:10,0
27/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.7,5.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,27/01/2022 21:10,0
28/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6,2.6,-0.3,-0.1,6,6,6,6,NA,NA,NA,NA,28/01/2022 09:10,0
28/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,8.8,3.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,28/01/2022 21:10,0
29/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.5,8.5,7.1,6.3,6,6,6,6,NA,NA,NA,NA,29/01/2022 09:09,0
29/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.6,6.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,29/01/2022 21:10,0
30/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,6.9,0.6,-6.6,-3.6,6,6,6,6,NA,NA,NA,NA,30/01/2022 09:09,0
30/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.6,1.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,30/01/2022 21:09,0
31/01/2022 09:00,DCNN,4206,12,1,NCM,556,1011,7.4,4.4,2.3,0.8,6,6,6,6,NA,NA,NA,NA,31/01/2022 09:10,0
31/01/2022 21:00,DCNN,4206,12,1,NCM,556,1011,7.6,4.6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,31/01/2022 21:10,0
01/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10.1,5.5,3.7,3.4,6,6,6,6,NA,NA,NA,NA,01/02/2022 09:10,0
01/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,12.3,10,NA,NA,6,6,NA,NA,NA,NA,NA,NA,01/02/2022 21:10,0
02/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,10,7.9,6.7,6,6,6,6,6,NA,NA,NA,NA,02/02/2022 09:09,0
02/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.1,8.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,02/02/2022 21:10,0
03/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,8.5,7.2,6.9,6.5,6,6,6,6,NA,NA,NA,NA,03/02/2022 09:09,0
03/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,10.7,7.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,03/02/2022 21:09,0
04/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,9.1,2.7,2,3.1,6,6,6,6,NA,NA,NA,NA,04/02/2022 09:09,0
04/02/2022 21:00,DCNN,4206,12,1,NCM,556,1011,6.6,2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,04/02/2022 21:10,0
05/02/2022 09:00,DCNN,4206,12,1,NCM,556,1011,3.4,1.3,-0.9,-0.9,6,6,6,6,NA,NA,NA,NA,05/02/2022 09:11,0
